DESCRIZIONE2,COUNTRY,Delta Ordini,Numero Macchine
RAISED RIB S0900 L029 T,Indonesia,381193.1859375,69.0
RAISED RIB S0900 L037 T,Indonesia,201367.64375,69.0
FLAT FRICTION TOP S1000 L216,Indonesia,37662.69453125,69.0
RAISED RIB S0900 L037 T,Iraq,216515.45750000002,208.0
RAISED RIB S0900 L029 T,Iraq,195455.28562500002,208.0
RAISED RIB S0900 L055 T,Iraq,48806.493125,208.0
RAISED RIB S0900 L037 T,Ireland,9174.484375,29.0
"CURVILINEA A TAPPARELLA L82,5",Ireland,6096.0,29.0
RAISED RIB S0900 L055 T,Islamic Republic of Iran,45752.0,145.0
RAISED RIB S0900 L037 T,Islamic Republic of Iran,33596.9775,145.0
TRIGLASS 13x8 L475,Islamic Republic of Iran,25200.0,145.0
RAISED RIB S0900 L029 T,Israel,36576.0,48.0
TRIGLASS 13x8 L754,Israel,850.0,48.0
TRIGLASS 13x8 L684,Israel,800.0,48.0
FLUSH GRID S1100 L304,Ivory Coast,5266.3015625,6.0
10x26x12 6900 RIVESTITO,Ivory Coast,2152.0,6.0
TRIGLASS 13x8 L720,Ivory Coast,1200.0,6.0
RAISED RIB S0900 L037 T,JAMAICA,146579.91218749998,23.0
RAISED RIB S0900 L055 T,JAMAICA,33536.0,23.0
TRIGLASS 13x8 L684,JAMAICA,10250.0,23.0
RAISED RIB S0900 L037 T,JAPAN,3078.4865625,11.0
TRIGLASS 13x8 L684,JAPAN,3050.0,11.0
"Ře14,9 Ři12,3 L60 Sx",JAPAN,800.0,11.0
RAISED RIB S0900 L029 T,Jordan,225643.46187499998,30.0
FLUSH GRID S1100 L304,Jordan,105247.5,30.0
RAISED RIB S0900 L037 T,Jordan,33703.6771875,30.0
RAISED RIB S0900 L029 T,KENYA,286512.0,11.0
RAISED RIB S0900 L037 T,KENYA,103616.0,11.0
FLAT TOP S1000 L597,KENYA,8673.703125,11.0
TRIGLASS 13x8 L684,KOSOVO,3250.0,15.0
TRIGLASS 13x8 L754,KOSOVO,1100.0,15.0
"M08x020 UNI5931 Fe BRUNITO Classe 12,9",KOSOVO,170.0,15.0
"RAISED RIB S0900 L046,5 T",KYRGYZSTAN,51800.0,8.0
TRIGLASS 13x8 L584,KYRGYZSTAN,1050.0,8.0
"Ře14 Ři7,2 H0,8",KYRGYZSTAN,320.0,8.0
RAISED RIB S0900 L037 T,Kazakhstan,121952.0,44.0
"RAISED RIB S0900 L046,5 T",Kazakhstan,54872.0,44.0
RAISED RIB S0900 L029 T,Kazakhstan,45750.484375,44.0
RAISED RIB S0900 L029 T,Kuwait,280539.461875,35.0
RAISED RIB S0900 L037 T,Kuwait,88400.0,35.0
"RAISED RIB S0900 L046,5 T",Kuwait,42687.2421875,35.0
RAISED RIB S0900 L029 T,"Lao, People's Dem. Rep.",24384.0,3.0
FLAT TOP S1000 L597,"Lao, People's Dem. Rep.",8652.6453125,3.0
3/8 06B-1 PROFILO DIRITTO NICH-GALV (2),"Lao, People's Dem. Rep.",3424.5,3.0
"RAISED RIB S0900 L046,5 T",Latvia,36576.0,10.0
RAISED RIB S0900 L037 T,Latvia,24384.0,10.0
TRIGLASS 13x8 L425,Latvia,1950.0,10.0
RAISED RIB S0900 L037 T,Lebanon,91508.96875,35.0
RAISED RIB S0900 L029 T,Lebanon,64174.90625,35.0
RAISED RIB S0900 L055 T,Lebanon,33536.0,35.0
S09000 055,Liberia,15.0,1.0
COSMOS 1000/2000 A COSMOS 3000,Liberia,2.0,1.0
RAISED RIB S0900 L029 T,Libya,149508.96875,57.0
RAISED RIB S0900 L037 T,Libya,94525.7265625,57.0
RAISED RIB S0900 L055 T,Libya,45736.0,57.0
RAISED RIB S0900 L037 T,Lithuania,15240.0,32.0
RAISED RIB S0900 L055 T,Lithuania,12192.0,32.0
"Ře14,9 Ři12,3 L60 Sx",Lithuania,2700.0,32.0
RAISED RIB S0900 L037 T,MALAYSIA,426720.0,72.0
"RAISED RIB S0900 L046,5 T",MALAYSIA,161606.484375,72.0
RAISED RIB S0900 L029 T,MALAYSIA,122072.43062500001,72.0
"Al Ře25,56 L63,3",MALDIVES,404.0,14.0
"STRAPPO Ř3,2x10 DIN7337-A AISI304",MALDIVES,400.0,14.0
PCT TARGA TASTIERA,MALI,1.0,4.0
CPU CDP MCUP_CMA2,MALI,1.0,4.0
RAISED RIB S0900 L037 T,MALTA,12192.0,7.0
TRIGLASS 13x8 L425,MALTA,6700.0,7.0
TRIGLASS 13x8 L684,MALTA,1050.0,7.0
FACCHINO CON FERMAGLIO LSK (sx 60/70/80),MARTINIQUE,12.0,1.0
FACCHINO CON FERMAGLIO LSK (dx 60/70/80),MARTINIQUE,12.0,1.0
"12B-1 Sv.2743,2 P.6",MARTINIQUE,8.0,1.0
"RAISED RIB S0900 L046,5 T",MAURITIUS,88414.484375,8.0
RAISED RIB S0900 L055 T,MAURITIUS,18409.941875,8.0
RAISED RIB S0900 L037 T,MAURITIUS,18333.71875,8.0
RAISED RIB S0900 L037 T,MEXICO,1137363.5675,422.0
"RAISED RIB S0900 L046,5 T",MEXICO,545883.6328125,422.0
RAISED RIB S0900 L055 T,MEXICO,283687.3234375,422.0
RAISED RIB S0900 L029 T,MOROCCO,207420.2153125,91.0
RAISED RIB S0900 L037 T,MOROCCO,118988.973125,91.0
"RAISED RIB S0900 L046,5 T",MOROCCO,112862.484375,91.0
M04x008 ISO7380 AISI304 Classe A2-70,Macedonia,340.0,14.0
"Ře20 Ři10,2 H1,35",Macedonia,300.0,14.0
OR 9x4 70SH SILICONE,Madagascar,214.0,12.0
EBS,Madagascar,140.0,12.0
QIR 400V 2500W,Madagascar,50.0,12.0
POM+HTF Ř8 L51,Malawi,540.0,1.0
LATERALE A RULLI 581-613372 H46,Malawi,104.0,1.0
M05x008 UNI5933 AISI304 Classe A2-70,Malawi,100.0,1.0
BLOCCAGGIO PLASTICA NERA M18x1,Mayotte,100.0,1.0
"Al 15,3x5 L22,5",Mayotte,50.0,1.0
RAISED RIB S0900 L055 T,"Moldova, Rep. of",42717.730937500004,14.0
TRIGLASS 13x8 L684,"Moldova, Rep. of",3000.0,14.0
"M05x008 UNI5933 Fe ZINCATO Classe 10,9","Moldova, Rep. of",400.0,14.0
M04x008 ISO7380 AISI304 Classe A2-70,Montenegro,40.0,8.0
"16 I/O, SERCOS 4/8MBaud",Montenegro,21.0,8.0
17x35x10 6003-2RS1 (2),Montenegro,18.0,8.0
3/8 06B-1 PROFILO DIRITTO NICH-GALV (2),Mozambique,940.0,8.0
Al 40x40 L280,Mozambique,182.0,8.0
1/2 08B-1 NICHELATA-GALVANICA,Mozambique,155.0,8.0
RAISED RIB S0900 L037 T,Myanmar,48829.71875,6.0
RAISED RIB S0900 L029 T,Myanmar,42672.0,6.0
TRIGLASS 13x8 L684,Myanmar,3650.0,6.0
RAISED RIB S0900 L029 T,NICARAGUA,73191.2421875,6.0
RAISED RIB S0900 L037 T,NICARAGUA,45780.98625,6.0
RAISED RIB S0900 L055 T,NICARAGUA,24475.479375000003,6.0
TRIGLASS 13x8 L754,NIGER,400.0,15.0
"IDRAULICO M20x1,5 M-08",NIGER,108.0,15.0
DI RITORNO -RMOLL-,Netherlands,400.0,17.0
ORM 0090-40,Netherlands,200.0,17.0
PORTA GUIDA 25x8,Netherlands,200.0,17.0
TRIGLASS 13x8 L684,New Zealand,850.0,14.0
TRIGLASS 13x8 L720,New Zealand,100.0,14.0
S0900 D079 Z09 F40x40,New Zealand,69.0,14.0
RAISED RIB S0900 L037 T,Nigeria,137167.244375,16.0
"RAISED RIB S0900 L046,5 T",Nigeria,21374.48875,16.0
RAISED RIB S0900 L029 T,Nigeria,21366.48875,16.0
FLAT TOP LFA 520 FT L765,Norway,3492.0,122.0
"OR 106 SILICONE Řc1,78 Ři6,751",Norway,1950.0,122.0
TRIGLASS 13x8 L684,Norway,1150.0,122.0
FLAT FRICTION TOP S1000 L216,Oman,8821.0,33.0
FG FLAT FRICTION TOP S0900 L220,Oman,7484.5625,33.0
FLAT TOP LFA 520 FT L595,Oman,6452.0,33.0
"RAISED RIB S0900 L046,5 T",PAKISTAN,179784.0,64.0
RAISED RIB S0900 L037 T,PAKISTAN,167769.190625,64.0
RAISED RIB S0900 L029 T,PAKISTAN,164702.4865625,64.0
"Ře14 Ři7,2 H0,8",PANAMA,20.0,2.0
PIANA 12 UNI6592 AISI304,PANAMA,10.0,2.0
Ře20 Ři10 L76 L,PANAMA,10.0,2.0
"RAISED RIB S0900 L046,5 T",PERU,6096.008750000001,29.0
POM+HTF Ř8 L51,PERU,296.0,29.0
LATERALE A RULLI 581-613372 H46,PERU,160.0,29.0
RAISED RIB S0900 L029 T,PHILIPPINES,91500.973125,33.0
RAISED RIB S0900 L055 T,PHILIPPINES,30496.0,33.0
5/8 10B-1 NICHELATA-GALVANICA,PHILIPPINES,12672.75265625,33.0
RAISED RIB S0900 L037 T,POLAND,259188.21625,218.0
"RAISED RIB S0900 L046,5 T",POLAND,161596.9775,218.0
